Data Sessão,PL,Autor,Status,Votos,Presentes,Fonte
2025-08-21,235/2025,Sandrinho,Não identificado,N/A,"Amanda, André do Gás, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Totó, Vitinho Nogueira",video-hw1VWiNyI-0-ytranscript.txt
2025-08-21,243/2025,Sandrinho,Não identificado,N/A,"Amanda, André do Gás, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Totó, Vitinho Nogueira",video-hw1VWiNyI-0-ytranscript.txt
2025-08-21,253/2025,Calé,Não identificado,N/A,"Amanda, André do Gás, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Totó, Vitinho Nogueira",video-hw1VWiNyI-0-ytranscript.txt
2025-08-21,268/2025,Luciano Santos,Não identificado,N/A,"Amanda, André do Gás, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Totó, Vitinho Nogueira",video-hw1VWiNyI-0-ytranscript.txt
2025-08-21,269/2025,Sandrinho,Não identificado,N/A,"Amanda, André do Gás, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Totó, Vitinho Nogueira",video-hw1VWiNyI-0-ytranscript.txt
2025-08-21,272/2025,Paulinho Nogueira,Aprovado (Votação Simbólica),N/A,"Amanda, André do Gás, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Totó, Vitinho Nogueira",video-hw1VWiNyI-0-ytranscript.txt
2025-08-21,273/2025,Amanda,Aprovado (Votação Simbólica),N/A,"Amanda, André do Gás, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Totó, Vitinho Nogueira",video-hw1VWiNyI-0-ytranscript.txt
2025-08-21,274/2025,Fidel Faria,Aprovado (Votação Simbólica),N/A,"Amanda, André do Gás, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Totó, Vitinho Nogueira",video-hw1VWiNyI-0-ytranscript.txt
2025-08-21,275/2025,Fidel Faria,Aprovado (Votação Simbólica),N/A,"Amanda, André do Gás, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Totó, Vitinho Nogueira",video-hw1VWiNyI-0-ytranscript.txt
2025-08-21,276/2025,Fidel Faria,Aprovado (Votação Simbólica),N/A,"Amanda, André do Gás, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Totó, Vitinho Nogueira",video-hw1VWiNyI-0-ytranscript.txt
2025-08-21,277/2025,Fidel Faria,Aprovado (Votação Simbólica),N/A,"Amanda, André do Gás, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Totó, Vitinho Nogueira",video-hw1VWiNyI-0-ytranscript.txt
2025-08-28,247/2025,Bruninho Almeida,Aprovado (Votação Simbólica),N/A,"Amanda, André do Gás, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Sandrinho, Vitinho Nogueira",video-NvLFdoGpLKk-ytranscript.txt
2025-08-28,248/2025,Bruninho Almeida,Aprovado (Votação Simbólica),N/A,"Amanda, André do Gás, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Sandrinho, Vitinho Nogueira",video-NvLFdoGpLKk-ytranscript.txt
2025-08-28,251/2025,Calé,Aprovado (Votação Simbólica),N/A,"Amanda, André do Gás, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Sandrinho, Vitinho Nogueira",video-NvLFdoGpLKk-ytranscript.txt
2025-08-28,252/2025,Igor Faraco,Encaminhado para Comissão,N/A,"Amanda, André do Gás, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Sandrinho, Vitinho Nogueira",video-NvLFdoGpLKk-ytranscript.txt
