Data Sessão,PL,Autor,Ementa,Status,Votos,Presentes,Fonte,Link YouTube
2025-03-08,003/2025,Cacau Repórter,Dispõe sobre a,Não identificado,N/A,"Amanda, André do Gás, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim",video-KOFfnMQI7aA-ytranscript.txt,https://www.youtube.com/watch?v=KOFfnMQI7aA
2025-12-02,004/2025,Amanda,Inclui o,Não identificado,N/A,Chamada não identificada,Sessão da Câmara de Teresópolis - 02 - 12 - 2025 (ytranscript.app).txt,https://www.youtube.com/watch?v=1_fKnlVY00Q
2025-03-08,005/2025,Vitim Nogueira,Dispõe sobre d,Não identificado,N/A,"Amanda, André do Gás, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim",video-KOFfnMQI7aA-ytranscript.txt,https://www.youtube.com/watch?v=KOFfnMQI7aA
2025-03-08,006/2025,Vitim Nogueira,Dispõe sobre d,Não identificado,N/A,"Amanda, André do Gás, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim",video-KOFfnMQI7aA-ytranscript.txt,https://www.youtube.com/watch?v=KOFfnMQI7aA
2025-04-02,015/2025,Dudo Resgate,Dispõe sobre a,Não identificado,N/A,"Amanda, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira",video-q4OpqYXvxh0-ytranscript.txt,https://www.youtube.com/watch?v=q4OpqYXvxh0
2025-04-14,015/2025,Dudo Resgate,Dispõe sobre a,Aprovado (Votação Simbólica),N/A,Chamada não identificada,video-Xx4rK1E4rqI-ytranscript.txt,https://www.youtube.com/watch?v=Xx4rK1E4rqI
2025-06-12,016/2025,Dudu do Resgate,Dispõe sobre a,Não identificado,N/A,"Amanda, André do Gás, Bruninho Almeida, Cacau Repórter, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim, Érica Marra",video-9WnNBpuIIa0-ytranscript.txt,https://www.youtube.com/watch?v=9WnNBpuIIa0
2025-03-10,017/2022,Calé,Dispõe sobre a,Aprovado (Votação Simbólica),N/A,Chamada não identificada,video-XKC09Tjae0Y-ytranscript.txt,https://www.youtube.com/watch?v=XKC09Tjae0Y
2025-03-30,017/2025,Calé,Dispõe sobre a,Não identificado,N/A,"Amanda, André do Gás, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim",video-gv8rFuKc4uA-ytranscript.txt,https://www.youtube.com/watch?v=gv8rFuKc4uA
2025-04-03,017/2025,Calé,Dispõe sobre a,Encaminhado para Comissão,N/A,"Amanda, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim, Érica Marra",video-_7wAlHRBLSA-ytranscript.txt,https://www.youtube.com/watch?v=_7wAlHRBLSA
